Diet.pval	Genotype.pval	Diet.Genotype.pval
1/3-Methylhistidine	0.0195527671572448	1.42810877088276e-05	0.286248154646955
2-Hydroxyglutarate	2.01050796383299e-05	0.0451372028011827	0.574689059324718
2/3-Phosphoglycerate	0.147980325385506	0.923147763242583	0.939672500796177
4-Hydroxybutyrate	0.266529849562408	0.476508059764825	0.963218269275811
4-Hydroxyphenylpyruvate	0.822419959952505	0.431426403736203	0.114768427251888
4-Pyridoxic acid	0.0133437107714821	0.280137559678672	0.607306897004911
5-Aminopentanoic acid	0.00198244571578969	1.91871703068696e-06	0.224150982443892
8-Hydroxy-deoxyguanosine	0.0703956602256373	0.723040506961537	0.267772286563668
13-HODE	0.023695235188418	0.751199167408995	0.524934246179212
Acetoacetate	0.00352361675081943	0.124748937666212	0.523041618472609
Acetylcarnitine	0.00289662056908232	0.0649488109248811	0.0764031544447446
Acetylcholine	0.000572421777691873	0.583898403993593	0.721576096179404
Aconitate	1.76031696682873e-05	0.248873198259053	0.773481556003348
Adenine	0.000190384530016851	5.06887455302142e-12	0.164816683447393
Adenosine	0.214775477749443	9.93373712954811e-06	0.0104248660979543
Adipic acid	0.0433595818416798	0.00116039750000082	0.111737853427462
Agmatine	0.0233207582984251	0.341276868154208	0.989686408661478
Alanine	0.557071191740165	0.169142049601462	0.272544371337258
Allantoin	0.590428517926002	2.53656369380733e-06	0.0705351166099537
Alpha-Ketoglutarate	0.954906738267714	0.211460092459428	0.249590614528386
AMP	0.123234101662975	0.214247803191879	0.430380809128404
Anthranilate	0.442020142397643	0.737629051890138	0.999891307624891
Arginine	0.132378099716844	0.193388030531576	0.731897633296975
Ascorbate	0.000347862106488018	0.102287697326702	0.185750401828683
Asparagine	0.00293498469209198	0.0325061600373571	0.00205610613178903
Aspartate	0.0305078685680027	0.0257220069358315	0.01948239041029
Azelaic acid	5.70057054044017e-06	0.629232905315282	0.709465998471841
Beta-Aminoisobutyrate	0.00528932200486712	1.23801233091197e-05	0.377274130460175
Beta-Hydroxybutyrate	0.00747347477815645	0.84170109507943	0.7419840371244
Betaine	0.00269814048382169	0.0165145699597405	0.703331115358881
Biotin	0.290507054748973	0.601514002398798	0.454497059913258
Cadaverine	4.68080654293177e-07	0.972934027889152	0.0658180452769687
Carnitine	0.0373288765088147	0.170827492915549	0.999254648214403
Choline	0.0194325183841567	0.791298403990116	0.122508628789201
Citraconate	0.106975000712778	0.125784152204253	0.0673432055419086
Citrulline	0.319998988308971	0.000477880164531687	0.0936656040600245
CMP	0.564600974102644	0.879165620905876	0.952853996336468
Cystathionine	3.5786291876734e-07	3.14578747829162e-05	0.000187634308783065
Cystine	0.00554825582660284	0.232190374004283	0.616786609279942
Cytidine	0.284922330788952	0.100178533988634	0.847815523191515
Cytosine	0.0166829367087806	0.000115348944610755	0.696677956930384
D-Glyceraldehyde 3-phosphate	0.720435968909847	0.0963487921486242	0.185871845952102
D-Leucate	0.585878535344598	0.109093434017948	0.245316942600232
Deoxycarnitine	0.00399206651740511	0.696424707959063	0.902336693991867
Dimethylglycine	0.0124219673097406	0.914889702087351	0.539118025679756
F16BP/F26BP/G16BP	0.873305709374981	0.377200839151883	0.387493378269785
Fructose	0.391511674781398	0.116278282733686	0.234209756045694
Fumarate	0.0144700524732296	0.215529961254778	0.0205866386147761
G1P/G6P/F6P/F1P	0.953940325850315	0.112846686817394	0.376859390870541
Gamma-Aminobutyrate	4.43781605299153e-05	0.238079728896694	0.664389394328652
Geranyl-pyrophosphate	0.0100292329334029	1.87436113601135e-06	0.519397119716018
Glucosamine	0.413918432993668	0.00594954409354424	0.570873886110679
Glucose	0.606433191514652	0.724846021688818	0.691699185445145
Glucuronate	0.515056746396055	0.183666402138656	0.331939145158495
Glutamic acid	0.00052638436753831	0.178030635510874	0.685315108641972
Glutamine	0.676600906920158	0.150333572280629	0.226564744020432
Glutarate	0.170577901515907	0.2345977134054	0.174327773031191
Glyceraldehyde	0.24681113010151	0.160028791707495	0.782826709513572
Glycerate	0.000225345377065101	5.11777893635691e-06	0.825096716101317
Glycerol 3-phosphate	0.0973630233401537	3.19069026434585e-07	0.23648828224493
Glycine	0.000340756088051126	0.506809014448777	0.00261157448031505
GMP	0.670376908902552	0.493964497267793	0.73705898746251
Guanosine	0.319177944688629	0.395440435499475	0.774909320107055
Histamine	0.0421914508779882	0.000246326038164274	0.0389581883214967
Histidine	0.723128479711981	0.898585644272584	0.936275769928139
Hydroxyproline/Aminolevulinate	3.82647440823306e-07	0.00249828124419004	0.00243392591085805
Hypoxanthine	0.536402770691872	0.733810437267294	0.603055510880314
IMP	0.00541487807596727	0.844634597433278	0.102957651914924
Inosine	0.659231867863773	0.713880866564853	0.842232471176364
Inositol	0.366937823704724	4.75503758503525e-08	0.0107165657841928
Isoleucine	0.0196811013313415	5.02249875571644e-06	0.0861474807403528
Isovalerate	0.563668202273761	0.433841071617188	0.535966275591313
Kynurenate	0.400635158780382	0.312070171875076	0.803477054851548
L-Kynurenine	0.00255631409729534	1.9757174449271e-06	0.0558511141402735
Lactate	0.000180033414812042	0.303814461958172	0.956750311311104
Lactose	0.167799503933977	0.126125594991953	0.542925583498443
Leucine	0.0301402358810018	0.0012486246284242	0.0776517668644821
Linoleate	0.21590799574684	0.912512106330134	0.127273382779399
Linolenate	0.0691759883574606	0.883303940537278	0.487968802805386
Lysine	3.41477999336577e-08	2.58244086285688e-11	0.000155470105050522
Maleate	0.00955719318426692	0.261225789798764	0.610124038822085
Malondialdehyde	0.591755158924987	0.494983180438059	0.493562765258159
Margaric acid	0.187734126888057	0.567870603244099	0.542511742829027
Methionine	0.537313532332006	0.00109694319253032	0.0460915605194596
Mevalonate	0.425684054477609	1.0224051767037e-19	8.61339742559282e-06
Myristic acid	0.31801026180557	0.00524728625883396	0.677612531205985
N-Acetylglycine	0.981437028545868	0.455687540671698	0.178312037370714
N-Acetylputrescine	1.22043429550182e-08	1.66766493150592e-07	2.01259178988059e-05
Niacinamide	0.448525659499578	0.908826675135155	0.00705590627761773
Nicotinate	0.736435688618358	0.738181296536392	0.550330631955882
Ornithine	0.550946926460787	3.96082353123165e-05	0.532099353262343
Orotate	0.613941419904245	0.688517916100184	0.845591112972128
Oxaloacetate	0.0124917136334999	0.00528769060659838	0.031817138010982
Oxidized glutathione	0.839908299134767	0.950836737643406	0.546567097899931
Oxypurinol	0.804232748040484	0.856578303633423	0.656555079715672
Pantothenate	0.0550488672767918	0.022437389655971	0.057255820108603
Phenylalanine	8.45450779620925e-05	0.757121394169173	8.1326808358869e-05
Pipecolate	5.47817572723157e-11	4.26197803505136e-14	3.51428191617868e-06
PLP	7.13189128809311e-05	0.365118224783585	0.579333642507661
Proline	0.0245260634172864	0.352521495096865	0.542442966021402
Putrescine	1.17506121847477e-05	0.143122974811573	0.0686944650320383
Pyroglutamate	0.96244361579184	0.132858445117786	0.317670864687132
Pyruvate	0.098969484223748	0.424047631824287	0.951309598261174
Quinolinate	0.106648937794744	0.265144930533206	0.576828226812052
Reduced glutathione	0.0870269559581131	0.934658621196446	0.578564738636809
Ribose-5-phosphate	0.404556137943512	0.00147956566478589	0.227765691287446
Sarcosine	4.24987550021921e-06	0.0035027190466569	0.00770021474527963
Serine	0.00564607514289595	2.36850105353982e-07	0.733579091911949
Sorbitol	0.00762487722506714	0.400155725765054	0.290389912603196
Succinate	0.377595474898305	0.583813600865936	0.191766979316595
Sucrose	0.00693733526945948	0.0215576899922325	0.0822981906034251
Taurine	0.00272033489809441	0.0706485553566162	0.733923888645797
Threonine	0.000330604558061505	0.256655394094544	0.253909987250301
Trimethylamine	0.018849000969365	0.0883117771652113	0.862754977133921
Tryptamine	0.726161351055246	2.71997864070286e-07	0.180752784852899
Tryptophan	0.130194525003249	4.2460417656312e-09	0.0707845303708413
Tyrosine	0.00437324738365818	0.446737766536227	0.424738563456576
UDP	0.00565002933219879	0.000757741893457489	0.775113441170957
Uracil	0.562084208383438	0.680013996144436	0.21579437425338
Urate	0.0815204160746844	0.0328339762818797	0.551792290119392
Uridine	0.333341864346048	0.7452228856426	0.899397427012726
Valine	0.000242666690672827	8.22731667327287e-08	0.157782541459274
Xanthine	0.745345119735755	0.797665254740522	0.67658450855178
Xanthosine	0.794109445638684	0.641047124788695	0.530693989268835
Xanthurenate	0.59510455746801	0.00272250971194025	0.565664100624232
