Diet.pval	Genotype.pval	Diet.Genotype.pval
1/3-Methylhistidine	0.713635801301751	5.41992703123638e-06	0.025053889070076
2-Hydroxyglutarate	0.113763615681226	0.204227779160644	0.65195436051522
4-Hydroxybutyrate	0.0128440366282332	0.44732681875522	0.32481348030379
4-Hydroxyphenylpyruvate	0.0486754449606157	0.00531147158928891	0.884937649136976
4-Pyridoxic acid	0.0855177214341595	0.000923970299466067	0.066616237667809
5-Aminopentanoic acid	0.000317567274360779	3.35322638527893e-06	0.903982770831206
Acetoacetate	0.0556224727290713	0.943742965460769	0.233473019473049
Acetylcarnitine	0.000399079330642047	0.000216678447353846	0.224026000565606
Acetylcholine	0.688736423925939	0.157405492795299	0.650771924097072
Aconitate	0.00652281029610246	0.0282446347397768	0.28029506858364
Adenosine	0.000173008083058037	0.000334274304307268	0.00392374792298673
Adipic acid	0.478740840195343	0.712511680745763	0.32240408503532
ADP	0.58425836562689	0.117007362719557	0.549302261164033
Agmatine	1.09000663580603e-05	0.873787000023513	0.00618085314290971
Alanine	0.00188441993275948	1.73893315562913e-06	0.127471673099592
Allantoin	0.720778983549105	0.00136573879640477	0.393255865892854
Alpha-Ketoglutarate	0.0416966497376025	0.278136838532429	0.0320477146678291
AMP	9.02643818243063e-05	0.0216744467504039	0.926582615773305
Anthranilate	0.00210601968029901	0.236406361723749	0.661456749512754
Arachidonate	0.378424538214316	0.0164339366764532	0.0279378101935661
Arginine	0.113442536159157	0.000895430643742016	0.0507864340568045
Asparagine	0.0776189488738482	0.030226917772159	1.66594693067035e-06
Aspartate	0.577238186819799	0.311728296186888	0.20000158712764
Azelaic acid	0.00204660868551024	0.12950364811987	0.45040897018417
Beta-Aminoisobutyrate	2.87222969292954e-05	0.00976905194993246	0.842920958772623
Beta-Hydroxybutyrate	0.00263952093337623	0.0946357455439543	0.204364643284514
Betaine	0.00118766084957922	5.54233901272028e-05	0.354938072265058
Biotin	4.95567179389081e-05	0.43667583855406	0.522059882125488
Carnitine	0.816844744436529	0.425063440387017	0.998757459459083
Choline	0.0396466737016907	0.00645149822615726	0.0114138623105308
Citraconate	0.0679680108824591	0.009027187309681	0.109059034279837
Citrulline	4.96959225141342e-05	0.00156543602973368	0.993839294346748
CMP	0.000984805139116939	0.607480173978925	0.153279361859731
Cystathionine	0.000146343772051887	0.00381571998472965	0.888939769329341
Cysteine	7.26978568664205e-06	0.001027169463969	0.08127397249012
Cystine	0.00602966200410675	0.745904973382578	0.828398694382222
Cytidine	0.372349187086435	0.339127992580434	0.573611701326891
D-Leucate	0.507417839185219	0.000169298702211858	0.269168194125744
Dimethylglycine	0.00591037975016286	0.0090435573566639	0.367197350249481
G1P/G6P/F6P/F1P	0.123970280322756	0.0709328866309132	0.821945940782082
Gamma-Aminobutyrate	0.0935583947162468	0.249617417138134	0.915223785387527
Geranyl-pyrophosphate	7.97199928120822e-09	0.00102352957639239	0.221762902180095
Glucosamine	3.76854977742371e-05	0.0878853744246961	0.219722546116263
Glucose	0.451005482897795	0.260682780559074	0.402584463562604
Glucuronate	4.04572781556841e-09	1.12664097419835e-05	0.0732553379810322
Glutamic acid	0.100418916920329	0.0997385510937218	0.753580596931034
Glutamine	0.0387788609430009	0.137548703811271	0.0299311616698669
Glutarate	0.644790543070939	0.929717186343558	0.409719174184996
Glyceraldehyde	0.885074798114695	0.0185941227034448	0.636907476722674
Glycerate	0.030035122531019	2.2136192649502e-08	0.0753525040318026
Glycerol 3-phosphate	0.000231414848326325	0.172587533947778	0.0699420558902988
Glycine	2.67831801456458e-12	0.00040906833772027	0.24433197247293
GMP	0.00125162774824174	0.00196834859950871	0.884193483744654
Guanosine	2.39030788210057e-06	5.8920132625564e-18	0.861698123516998
Histamine	0.000817890874035341	0.104027573992249	0.00734715736869438
Histidine	0.000595903009047953	0.381371212716385	0.155990282759356
Homovanilate	0.283863604857267	0.508611555925675	0.742426574682189
Hypoxanthine	0.818150071480182	0.638398312625543	0.851421178788938
IMP	0.0177188759554259	0.0241120930160414	0.0604149500382745
Inosine	0.163541566789472	0.344998386311208	0.483224181644205
Inositol	0.374492018652716	4.45542971990571e-06	0.314739196414042
Isoleucine	3.71013988545373e-05	0.00119880238458886	0.82813954866675
Isovalerate	0.225218482269061	0.479116322896732	0.423995276778113
Kynurenate	0.0960783304378569	0.0764570005242855	0.0562406890876703
L-Kynurenine	0.00276562274711345	0.929330205903379	0.000719442634055474
Lactate	0.0131515772282793	0.223117859727256	0.715663665325827
Lactose	0.253787648429745	0.712920689521536	0.413067377360351
Leucine	0.00570385210667713	0.0126343236160374	0.659134259936956
Linoleate	0.0229647827706163	0.506898148650344	0.304709573342651
Linolenate	0.0194392693018966	0.65978877154998	0.360762157972616
Lysine	4.44279885419503e-09	4.51531655279283e-18	6.09749543027228e-11
Malondialdehyde	0.356487506589314	0.418137580980087	0.310420064576248
Margaric acid	0.607859261080662	0.678831230611253	0.571171408774636
Methionine	7.22537878086313e-05	6.73449721208708e-05	0.449969735226788
N-Acetylglycine	0.249251625651498	0.00779761615708821	0.0492511971489238
Ornithine	0.477942422575147	5.53472255498514e-08	0.643725120607617
Orotate	1.95216537430499e-05	0.0408073880691821	0.265680524890206
Oxaloacetate	0.0101931356329934	3.10110822532923e-05	8.84365214459373e-07
Oxidized glutathione	0.415753377824421	0.741039940455282	0.38725339455286
Pantothenate	0.089033700205155	0.00119871433169373	0.752521244401345
Phenylalanine	4.5638260183066e-05	0.284854988981337	0.122972312047714
Pipecolate	2.35277569318324e-08	3.62111979810281e-16	1.73247370532288e-10
Proline	0.0190625637150183	0.0740819531448676	0.641675705098654
Pyruvate	0.0154415294869258	0.00150613992707028	0.733022638353181
Reduced glutathione	0.691143514941543	0.174668971165276	0.470874285954652
Ribose-5-phosphate	0.0144105252775174	0.143017735703111	0.135556156544558
Sarcosine	0.282645881681015	0.0433406232412229	0.0401650006205162
Serine	0.0135493430159623	3.0505074408447e-11	0.067899048430764
Sorbitol	0.0917163002163281	0.0607331473791616	0.585803292500952
Succinate	0.898369034528972	0.394262008314952	0.367034305148079
Sucrose	0.34953452746676	0.356721334939591	0.167081083826352
Taurine	0.161241680071826	0.00545240699379949	0.526446046452918
Threonine	0.0724850971111204	0.0186517838711601	0.045434060224617
Trimethylamine	0.814460094595966	0.870569593046258	0.588855434951322
Tryptophan	0.180826250404772	6.21034933982111e-05	0.360194957051477
Tyrosine	0.00513452810401704	0.00822888052761041	0.566651130595429
Uracil	0.361916010987762	0.0138008667896094	0.195999747501844
Urate	0.320130333499266	2.89744472190195e-18	0.0167135199991328
Uridine	0.000394877180777683	0.765624775007226	0.570470983067296
Valine	0.000663288423071496	7.11185686187641e-06	0.71731458613992
