Sample Name	HMDB ID	Pathway	Metabolite
1-Methyladenosine (282.0 / 150.1)	HMDB0003331	Nucleotide/Purine Metabolism	1-Methyladenosine
1-Methylguanosine (298.0 / 166.1)	HMDB0001563	Nucleotide/Purine Metabolism	1-Methylguanosine
1-Methylhistamine (126.0 / 96.0)	HMDB0000898	Amino Acid Metabolism	1-Methylhistamine
1/3-Methylhistidine (170.0 / 96.0)	HMDB0000001/HMDB0000479	Amino Acid Metabolism	1/3-Methylhistidine
12-HETE (319.2 / 179.0)	HMDB0006111	Lipid/Phospholipid, Ligand	
13-HODE (295.2 / 195.0)	HMDB0061708	Lipid/Phospholipid, Ligand	
13C-Glucose (185.0 / 92.0)	NA	Internal Control	
1C13-Lactate (90.0 / 44.0)	NA	Internal Control	
2-Aminoadipate (160.1 / 116.0)	HMDB0000510	Amino Acid Metabolism	
2-Deoxyuridine (229.0 / 113.0)	HMDB0000012	Nucleotide/Pyrimidine Metabolism	
2-Hydroxyglutarate (147.0 / 129.0)	HMDB0059655	Amino Acid Metabolism	
2-Hydroxy-3-methylbutyric acid (117.0 / 71.0)	HMDB0000407	Amino Acid Metabolism	
2/3-Phosphoglycerate (185.0 / 97.0)	HMDB0000362/HMDB0000807	Glycolysis	
213C-Tyrosine (184.1 / 138.0)	NA	Internal Control	
2C13-Glutamic acid (150.1 / 85.0)	NA	Internal Control	
3-Hydroxykynurenine (225.2 / 110.1)	HMDB00732	Tryptophan Cycle	3-Hydroxykynurenine
3-Methyl-2-oxovaleric acid (129.0 / 101.0)	HMDB0001491	Vitamin/B6	3-Methyl-2-oxovaleric acid
3-Nitrotyrosine (225.0 / 163.0)	HMDB0001904	Oxdative Damage	3-Nitrotyrosine
4-Hydroxybutyrate (105.0 / 77.0)	HMDB0000710	"Lipid/Phospholipid, Ligand"	4-Hydroxybutyrate
4-Pyridoxic acid (182.1 / 138.0)	HMDB0000017	Vitamin/B6	4-Pyridoxic acid
5-Aminopentanoic acid (118.0 / 55.0)	HMDB0003355	Amino Acid	5-Aminopentanoic acid
5-Hydroxytryptophan (221.0 / 133.2)	HMDB0000472	Tryptophan Cycle	5-Hydroxytryptophan
6-Methyladenosine (282.0 / 150.1 (2))	HMDB0004044	NA	6-Methyladenosine
8-Hydroxyguanosine (300.0 / 168.1)	HMDB0002044	Nucleotide/Purine Metabolism	8-Hydroxyguanosine
8-Hydroxy-deoxyguanosine (284.0 / 168.1)	HMDB0003333	Nucleotide/Purine Metabolism	8-Hydroxy-deoxyguanosine
Acetoacetate (101.0 / 57.0)	HMDB0000060	Ketone 	Acetoacetate
Acetylcarnitine (204.1 / 85.0)	HMDB0000201	Fatty Acid Oxidation	Acetylcarnitine
Acetylcholine (146.1 / 87.0)	HMDB0000895	"Lipid/Phospholipid, Ligand"	Acetylcholine
Aconitate (173.0 / 85.0)	HMDB0000072	TCA Cycle	Aconitate
Adenine (134.1 / 107.0)	HMDB0000034	Nucleotide/Purine Metabolism	
Adenosine (268.1 / 136.1)	HMDB0000050	Nucleotide/Purine Metabolism	Adenosine
Adenylosuccinate (462.1 / 79.0)	HMDB0000536	Nucleotide/Purine Metabolism	
Adipic acid (144.9 / 83.0)	HMDB0000448	Caprolactam Degradation	
ADP (426.0 / 134.0)	HMDB0001341	Nucleotide/Purine Metabolism	
Agmatine (131.0 / 72.0)	HMDB0001432	Polyamine Metabolism	
Alanine (90.0 / 44.0)	HMDB0000161	Amino Acid	
Allantoin (157.0 / 114.0)	HMDB0000462	Nucleotide Degradation	
Allopurinol (135.0 / 64.0)	HMDB0014581	Nucleotide Metabolism	
Alpha-Ketoglutarate (145.0 / 101.0)	HMDB0000208	TCA Cycle	
Beta-Aminoisobutyrate (104.1 / 86.0)	HMDB0003911	Amino Acid Metabolism	
AMP (346.1 / 79.0)	HMDB0000045	Nucleotide/Purine Metabolism	
Anthranilate (136.0 / 118.0)	HMDB0001123	Amino Acid Metabolism	
Arachidonate (303.3 / 59.0)	HMDB0060102	"Lipid/Phospholipid, Ligand"	
Arginine (175.1 / 70.0)	HMDB0000517	Amino Acid	
Ascorbate (175.0 / 87.0)	HMDB0000044	Vitamin	
Asparagine (133.1 / 74.0)	HMDB0000168	Amino Acid	
Aspartate (134.1 / 74.0)	HMDB0000191	Amino Acid	
ATP (505.9 / 79.0)	HMDB0000538	Nucleotide/Purine	
Azelaic Acid (187.0 / 125.0)	HMDB0000784	Conjugated Fatty Acid	
Benzoic acid (121.0 / 77.0 (2))	HMDB0001870	Amino Acid Metabolism	
Beta-Hydroxybutyrate (103.0 / 59.0)	HMDB0000357	TCA Cycle	
Betaine (118.0 / 58.0)	HMDB0000043	Amino Acid Metabolism	
Biotin (243.1 / 200.0)	HMDB0000030	Vitamin	
Cadaverine (103.0 / 86.0)	HMDB0002322	Amino Acid Metabolism	
Carnitine (162.1 / 85.0)	HMDB0000062	Amino Acid Metabolism	
cGMP (344.0 / 150.0)	HMDB0001314	Nucleotide/Purine Metabolism	
Chenodeoxycholate (391.0 / 74.0)	HMDB0000518	Bile Acid Metabolism	
Choline (104.1 / 60.0)	HMDB0000097	Vitamin	
Citraconate (129.0 / 85.0)	HMDB0000634	Amino Acid Metabolism	
Citrate (191.0 / 111.0)	HMDB0000094	TCA Cycle	
Citrulline (174.0 / 131.0)	HMDB0000904	Urea Cycle	
CMP (322.0 / 97.0)	HMDB0000095	Nucleotide/Pyrimidine	
Creatine (132.1 / 90.0)	HMDB0000064	Amino Acid Metabolism	
Creatinine (114.1 / 44.0)	HMDB0000562	Amino Acid Metabolism	
Cystamine (153.0 / 108.0)	NA	Amino Acid Metabolism	
Cystathionine (221.1 / 134.0)	HMDB0000099	Amino Acid Metabolism	
Cysteine (122.0 / 59.0)	HMDB0000574	Amino Acid	
Cysteinylglycine (179.1 / 76.0)	HMDB0000078	Amino Acid Degradation	
Cystine (241.1 / 120.0)	HMDB0000192	Amino Acid Metabolism	
Cytidine (244.0 / 112.1)	HMDB0000089	Nucleotide/Pyrimidine Metabolism	
Cytosine (112.1 / 95.0)	HMDB0000630	Nucleotide	
D-Glyceraldehyde 3-phosphate (168.9 / 97.0)	HMDB0001112	Glycolysis/Glycogenesis	
D-Leucate (131.0 / 85.0)	HMDB0000624	Amino Acid Metabolism	
DCDP (386.0 / 159.0)	HMDB0001245	Nucleotide/Pyrimidine	
DCMP (306.0 / 110.0)	HMDB0001202	Nucleotide/Pyrimidine	
Deoxycarnitine (147.1 / 87.0)	HMDB0001161	"Lipid/Phospholipid, Ligand"	
Dihydroxyacetone phosphate (168.9 / 78.8)	HMDB0001473	Glycolysis/Phospholipid	
Dimethylglycine (104.1 / 58.0)	HMDB0000092	Vitamin	
Dopamine (152.1 / 122.0)	HMDB0000073	Adrenaline Metabolism	
DTMP (321.1 / 79.0)	HMDB0001227	Nucleotide	
DUMP (307.0 / 195.0)	HMDB0001409	Nucleotide/Pyrimidine	
DUTP (467.0 / 159.0)	HMDB0001191	Nucleotide/Pyrimidine	
Epinephrine/Normetanephrine (184.1 / 166.2)	HMDB0000068/HMDB0000819	Amino Acid Metabolism	
Erythrose (119.0 / 71.0)	HMDB0002649	Sugar	
F16BP/F26BP/G16BP (339.0 / 97.0)	HMDB0001058/HMDB0001047/HMDB0003514	Glycolysis	
Folate (440.1 / 311.0)	HMDB0000121	One Carbor Pool by Folate	
Fructose (179.0 / 89.0 (3))	HMDB0000660	Sugar	
Fumarate (115.0 / 71.0)	HMDB0000134	TCA Cycle	
G1P/G6P/F6P/F1P (259.0 / 97.0)	HMDB01586/HMDB01401/HMDB00124/HMDB01076	Glycolysis	
Galactose (179.0 / 89.0 (2)	HMDB0000143	Sugar	
gamma-Aminobutyrate (102.1 / 56.0)	HMDB0000112	Amino Acid Metabolism	
GDP (442.0 / 159.0)	HMDB0001201	Nucleotide/Purine	
Geranyl-PP (313.1 / 79.1)	HMDB0001285	Ubiquinone and Other Terpenoid-Quinone Biosynthesis	
Gibberellin (345.2 / 144.2)	HMDB0003559	Diterpenoid Biosynthesis	
Glucuronate (193.0 / 73.0)	HMDB0000127	Amino Sugar and Nucleotide Sugar Metabolism	
Glucosamine (180.1 / 162.0)	HMDB0001514	Amino Sugar and Nucleotide Sugar Metabolism	
Glucose (179.0 / 89.0)	HMDB0000122	Glycolysis/Sugar	
Glutamic acid (148.1 / 84.0)	HMDB0000148	Amino Acid	
Glutamine (147.1 / 84.0)	HMDB0000641	Amino Acid	
Glutarate (131.0 / 87.0)	HMDB0000661	Fatty Acid Degradation	
Glyceraldehyde (89.0 / 59.0)	HMDB0001051	Sugar	
Glycerate (105.0 / 75.0)	HMDB0000139	Amino Acid Metabolism	
Glycerol (93.0 / 75.0)	HMDB0000131	Fatty Acid Metabolism	
Glycerol 3-phosphate (171.0 / 79.0)	HMDB0000126	Lipid/Glycerollipid	
Glycine (76.0 / 30.1)	HMDB0000123	Amino Acid	
Glycochenodeoxycholate (448.3 / 74.0)	HMDB0000637	Bile Acid Metabolism	
Glycocholate (464.3 / 74.0)	HMDB0000138	Bile Acid Metabolism	
GMP (364.1 / 151.8)	HMDB0001397	Nucleotide/Purine	
GTP (522.0 / 159.0)	HMDB0001273	Nucleotide/Purine	
Guanidinoacetate (116.0 / 74.0 (2))	HMDB0000128	Amino Acid Metabolism	
Guanosine (284.0 / 152.1)	HMDB0000133	Nucleotide/Purine	
Histamine (112.0 / 95.0)	HMDB0000870	Amino Acid Metabolism	
Histidine (156.1 / 110.0)	HMDB0000177	Amino Acid	
Homocysteine (136.0 / 90.0)	HMDB0000742	Amino Acid Metabolism	
Homogentisate (167.0 / 123.0)	HMDB0000130	Amino Acid Metabolism	
Homoserine (120.1 / 74.0)	HMDB0000719	Amino Acid Metabolism	
Homovanilate (181.0 / 137.0)	HMDB0000118	Amino Acid Metabolism	
Hydroxyproline/Aminolevulinate (132.1 / 86.2)	HMDB0000725/HMDB0001149	Amino Acid Metabolism	
Hypoxanthine (135.0 / 92.0)	HMDB0000157	Nucleotide	
Hippurate (178.0 / 134.0)	HMDB0000714	Amino Acid Metabolism	
IMP (347.0 / 79.0)	HMDB0000175	Nucleotide/Purine	
Inosine (269.0 / 137.1)	HMDB0000195	Nucleotide/Purine Metabolism	
Inositol (179.0 / 87.0)	HMDB0000211	Galactose Metabolism	
Iso-Leucine (132.1 / 86.0 (2))	HMDB0000172	Amino Acid	
Isobutyrate (87.0 / 42.0)	HMDB0001873	Fatty Acid Metabolism	
Isovalerate (101.0 / 83.0)	HMDB0000718	Amino Acid	
Kynurenate (188.0 / 143.8)	HMDB0000715	Amino Acid Metabolism	
L-Kynurenine (209.1 / 94.0)	HMDB0000684	Tryptophan Cycle	
Lactate (89.0 / 43.0)	HMDB0000190	Glycolysis/TCA Cycle	
Lactose (341.0 / 59.0)	HMDB0000186	Sugar	
Leucine (132.1 / 86.0)	HMDB0000687	Amino Acid	
Linoleate (277.1 / 259.0)	HMDB0000673	Fatty Acid Metabolism	
Linolenate (279.1 / 261.0)	HMDB0001388	Fatty Acid Metabolism	
Lysine (147.1 / 84.0 (2))	HMDB0000182	Amino Acid	
Malate (133.0 / 115.0)	HMDB0000156	TCA Cycle	
Maleate (115.0 / 71.0 (2))	HMDB0000176	TCA Cycle	
Malonate (103.0 / 41.0)	HMDB0000691	TCA Cycle	
Malondialdehyde (71.0 / 41.0)	HMDB0006112	Oxdative Damage	
Mannose (181.0 / 99.0)	HMDB0000169	Sugar/Galactose Metabolism	
Margaric acid (269.1 / 251.3)	HMDB0002259	Fatty Acid Metabolism	
Melatonin (231.1 / 58.0)	HMDB0001389	Neuroactive Ligand	
Methionine (150.1 / 61.0)	HMDB0000696	Amino Acid	
Methyl-OH-isobutyrate (117.0 / 85.0)	NA	Fatty Acid Metabolism	
Methylmalonate (117.0 / 73.0 (2))	HMDB0000202	Vitamin	
Methylsuccinate (131.0 / 69.0)	HMDB0001844	Amino Acid Metabolism	
Mevalonate (147.1 / 59.0)	HMDB0000227	Tryptophan Cycle	
Myristic acid (227.1 / 209.0)	HMDB0000806	Terpenoid Backbone Biosynthesis	
N-Acetylglycine (116.0 / 74.0)	HMDB0000532	Amino Acid Metabolism	
N-Acetylneuraminate (308.1 / 87.0)	HMDB0000230	Sugar	
N-Acetylputrescine (131.1 / 114.0)	HMDB0002064	Polyamine Metabolism	
N-Carbamoyl-beta-alanine (131.1 / 115.0)	HMDB0000026	Urea Cycle	
N2,N2-Dimethylguanosine (312.0 / 180.1)	HMDB0004824	Nucleotide/Purine Metabolism	
Niacinamide (123.0 / 80.0)	HMDB0001406	Vitamin	
Nicotinate (122.0 / 78.0)	HMDB0001488	Nicotinate and Nicotinamide Metabolism	
4-Hydroxyphenylpyruvate (179.0 / 89.0 (4))	HMDB0000707	Amino Acid Metabolism	
OMP (367.0 / 323.1)	HMDB0000218	Nucleotide/Pyrimidine Metabolism	
Ornithine (133.1 / 70.0)	HMDB0000214	Urea Cycle	
Orotate (155.0 / 111.0)	HMDB0000226	Nucleotide/Pyrimidine Metabolism	
Oxalate (89.0 / 61.0)	HMDB0002329	Glyoxylate and Dicarboxylate Metabolism	
Oxaloacetate (131.0 / 113.0)	HMDB0000223	TCA Cycle	
Oxidized glutathione (611.2 / 306.0)	HMDB0003337	Oxdative Damage	
Oxypurinol (151.0 / 42.0)	HMDB0000786	Nucleotide Metabolism	
Pantothenate (218.1 / 88.0)	HMDB0000210	Amino Acid Metabolism	
PGE2 (351.2 / 315.3)	HMDB0001220	Lipid/Arachidonic Acid Metabolism	
Phenylalanine (166.1 / 120.0)	HMDB0000159	Amino Acid	
Phosphoenolpyruvate (166.9 / 79.0)	HMDB0000263	Glycolysis	
Phosphotyrosine (262.0 / 81.0)	HMDB0006049	Amino Acid Metabolism	
Pipecolate (130.0 / 84.0)	HMDB0000070	Amino Acid Degradation	
PPA (163.0 / 91.0)	HMDB0004110	Amino Acid Metabolism	
Proline (116.1 / 70.0)	HMDB0000162	Amino Acid	
Propionate (73.0 / 55.0)	HMDB0000237	Nicotinate and Nicotinamide Metabolism	
PRPP (389.0 / 176.9)	HMDB0000280	Nucleotide/Purine Metabolism	
Putrescine (89.0 / 72.0)	HMDB0001414	Polyamine Metabolism	
PLP (246.0 / 96.9)	HMDB0001491	Vitamin	
Pyroglutamate (130.0 / 83.4)	HMDB0000267	Amino Acid Metabolism	
Pyruvate (87.0 / 43.0)	HMDB0000243	Glycolysis/Amino Acid Metabolism	
Quinolinate (166.0 / 78.0)	HMDB0000232	Amino Acid Metabolism	
Reduced glutathione (306.1 / 143.0)	HMDB0000125	Oxdative Damage	
Ribose-5-P (229.0 / 79.0)	HMDB0001548	Nucleotide/Purine Metabolism	
Salicylurate (196.1 / 152.0)	HMDB0000840	Amino Acid Metabolism	
Sarcosine (89.9 / 44.0)	HMDB0000271	Amino Acid Metabolism	
Serine (106.0 / 60.0)	HMDB0000187	Amino Acid	
Shikimate (173.0 / 93.0)	HMDB0003070	Amino Acid Metabolism	
Sorbitol (183.0 / 91.0)	HMDB0000247	Sugar	
Spermidine (146.1 / 72.0)	HMDB0001257	Polyamine Metabolism	
Spermine (203.1 / 129.0)	HMDB0001256	Polyamine Metabolism	
Succinate (117.0 / 73.0)	HMDB0000254	TCA Cycle	
Sucrose (341.0 / 59.0 (2))	HMDB0000258	Sugar	
Taurine (126.0 / 108.0)	HMDB0000251	Amino Acid Metabolism	
Taurocholate (514.5 / 124.0)	HMDB0000036	Primary Bile Acid Biosynthesis	
Threonine (120.1 / 74.0 (2))	HMDB0000167	Amino Acid	
Trimethylamine (TMA) (60.0 / 44.0)	HMDB0000906	Gut Flora Metabolism/Redox	
Trimethylamine-N-oxide (TMAO) (76.1 / 58.0)	HMDB0000925	Gut Flora Metabolism/Redox	
Tryptamine (161.1 / 144.0)	HMDB0000303	Amino Acid Metabolism	
Tryptophan (205.1 / 146.0)	HMDB0000929	Amino Acid	
Tyramine (138.1 / 77.0)	HMDB0000306	Amino Acid Metabolism	
Tyrosine (182.1 / 136.0)	HMDB0000158	Amino Acid	
UDP (403.0 / 79.0)	HMDB0000295	Nucleotide/Pyrimidine	
Uracil (111.0 / 42.0)	HMDB0000300	Nucleotide/Pyrimidine Metabolism	
Urate (167.0 / 124.0)	HMDB0000289	Nucleotide/Purine Metabolism	
Uridine (245.0 / 113.1)	HMDB0000296	Nucleotide/Pyrimidine	
Valine (118.1 / 72.0)	HMDB0000883	Amino Acid	
Xanthine (151.0 / 108.0)	HMDB0000292	Nucleotide	
Xanthosine (283.1 / 151.0)	HMDB0000299	Nucleotide/Purine Metabolism	
Xanthurenate (204.0 / 160.0)	HMDB0000881	Amino Acid Metabolism	
