SampleID	FlyBatchID	MetaboliteBatchID	SampleName	TreatmentID	TreatmentLabel	Treatment
10B	2	3	w1118_CD_Body_1	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
11B	1	1	w1118_CD_Body_2	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
12B	1	1	w1118_CD_Body_3	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
13B	1	1	w1118_CD_Body_4	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
14B	1	2	w1118_CD_Body_5	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
15B	1	2	w1118_CD_Body_6	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
16B	2	2	w1118_CD_Body_7	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
17B	2	2	w1118_CD_Body_8	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
18B	2	3	w1118_CD_Body_9	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
19B	2	3	w1118_CD_Body_10	1	w1118_CD_Body	30-50 bodies from w1118 males by choice diet
20B	2	3	w1118_CD2FD_Body_1	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
21B	1	1	w1118_CD2FD_Body_2	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
22B	1	1	w1118_CD2FD_Body_3	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
23B	1	1	w1118_CD2FD_Body_4	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
24B	1	2	w1118_CD2FD_Body_5	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
25B	1	2	w1118_CD2FD_Body_6	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
26B	2	2	w1118_CD2FD_Body_7	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
27B	2	2	w1118_CD2FD_Body_8	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
28B	2	3	w1118_CD2FD_Body_9	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
29B	2	3	w1118_CD2FD_Body_10	2	w1118_CD2FD_Body	30-50 bodies from w1118 males by choice diet switched to fixed diet
30B	2	3	w1118_FD_Body_1	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
31B	1	1	w1118_FD_Body_2	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
32B	1	1	w1118_FD_Body_3	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
33B	1	1	w1118_FD_Body_4	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
34B	1	2	w1118_FD_Body_5	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
35B	1	2	w1118_FD_Body_6	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
36B	2	2	w1118_FD_Body_7	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
37B	2	2	w1118_FD_Body_8	3	w1118_FD_Body	30-50 bodies from w1118 males by fixed diet
