SampleID	FlyBatchID	MetaboliteBatchID	SampleName	TreatmentID	TreatmentName	Treatment
10H	2	3	w1118_CD_Head_1	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
11H	1	1	w1118_CD_Head_2	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
13H	1	1	w1118_CD_Head_4	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
14H	1	2	w1118_CD_Head_5	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
15H	1	2	w1118_CD_Head_6	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
16H	2	2	w1118_CD_Head_7	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
17H	2	2	w1118_CD_Head_8	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
18H	2	3	w1118_CD_Head_9	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
19H	2	3	w1118_CD_Head_10	1	w1118_CD_Head	30-50 heads from w1118 males by choice diet
20H	2	3	w1118_CD2FD_Head_1	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
21H	1	1	w1118_CD2FD_Head_2	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
22H	1	1	w1118_CD2FD_Head_3	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
23H	1	1	w1118_CD2FD_Head_4	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
24H	1	2	w1118_CD2FD_Head_5	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
25H	1	2	w1118_CD2FD_Head_6	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
26H	2	2	w1118_CD2FD_Head_7	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
27H	2	2	w1118_CD2FD_Head_8	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
28H	2	3	w1118_CD2FD_Head_9	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
29H	2	3	w1118_CD2FD_Head_10	2	w1118_CD2FD	30-50 heads from w1118 males by choice diet switched to fixed diet
