Sample Name	10 B	11 B	12 B	13 B	14 B	15 B	16 B	17 B	18 B	19 B	20 B	21 B	22 B	23 B	24 B	25 B	26 B	27 B	28 B	29 B	30 B	31 B	32 B	33 B	34 B	35 B	36 B	37 B	38 B	39 B	40 B	41 B	42 B	43 B	44 B	45 B	46 B	47 B	48 B	49 B	50 B	51 B	52 B	53 B	54 B	55 B	56 B	57 B	58 B	59 B	60 B	61 B	62 B	63 B	64 B	65 B	66 B	67 B	68 B	69 B	70 B	71 B	72 B	73 B	74 B	75 B	76 B	77 B	78 B	80 B	81 B	82 B	83 B	84 B	85 B	86 B	87 B	88 B
1-Methyladenosine (282.0 / 150.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylguanosine (298.0 / 166.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylhistamine (126.0 / 96.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1/3-Methylhistidine (170.0 / 96.0)	1131329	404380	532008	326124	894175	1325789	1003948	770224	989549	941573	1003178	587075	825052	376474	1145360	1104931	1018719	993931	916186	555698	553455	614007	520892	433091	587284	1006809	725991	748650	736719	716782	425985	397059	318275	353366	467562	720821	1023775	737593	944146	608306	2333775	843214	1156946	774293	754268	2147456	2484558	1394902	731936	1704709	1522697	1434434	1381355	1517851	1332658	259871	2109068	1992362	1663692	1104269	990425	1222000	1058519	1569666	1216721	1406102	1937554	1836379	1207914	1288272	1117142	1085636	1324705	1023478	963907	366562	501986	1317179
12-HETE (319.2 / 179.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13-HODE (295.2 / 195.0)	159369	39244730	35364303	21656589	1628384	80634	501870	67223	82166	116003	125210	34081144	34243063	8294733	67584	301068	106559	460675	775702	19362645	2785077	2049943	1922293	1348532	1802074	88884	54129	41938	43713	80369	2688744	1932850	2266846	2339189	1975661	63512	66668	65266	328730	56057	103270	25279324	35738226	21895733	18115270	66181	64542	86951	18529855	553921	4298902	35008309	25590366	33638301	28962219	22242	209863	3192918	60048	3627273	538706	636499	957757	692096	34567	64224	77850	176583	1055111	257510	831388	923534	851506	51910	56361	31144	63202	54191
13C-Glucose (185.0 / 92.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1C13-Lactate (90.0 / 44.0)	50928448	52078737	52069616	56300828	51620796	54072386	53097814	52947574	50596217	49822945	51968362	54283945	51391798	46080014	55476417	50743065	53730942	49831215	50269569	50757318	45076551	47373535	44754180	49781065	48938934	51794079	52114606	52625497	50471186	50974592	46236366	50215978	46364779	51130084	48283471	49546792	50489975	50027176	51517103	51635943	52518020	50771814	50548793	50608241	51333781	54227691	50298531	53218612	51919388	54497800	57128160	50530049	50024146	53985953	54076871	56772565	50179323	55272280	50990736	55702735	50667888	49000862	49159463	46193858	51439487	49085415	50619540	54005380	44929941	51230824	46740404	45169441	45070200	51540762	53333896	55133088	54453042	50262386
2-Aminoadipate (160.1 / 116.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-Deoxyuridine (229.0 / 113.0)	36337	NA	NA	NA	19420	28850	27449	NA	56815	37674	41743	NA	26446	30012	36412	36565	40406	34486	50799	22310	129747	106296	122778	67434	127800	68051	46308	44096	47398	60368	108219	57341	54692	50231	68901	53294	31493	48910	54969	23743	122050	21551	NA	21606	NA	95923	99036	72545	NA	112453	102223	25146	29040	18443	26592	22879	138461	80881	152251	65954	132401	128844	137775	215469	97016	103503	111441	79437	294761	132355	97311	178030	122367	56064	80440	44387	47049	144141
2-Hydroxyglutarate (147.0 / 129.0)	7759883	15358449	10282241	6843088	7464931	9505596	8509169	8376071	8039672	8691684	9143949	6966962	6280111	4589379	7195257	8801421	8442300	8406341	8398308	5524946	6021959	3503087	5012947	3498206	4341010	7169699	8182260	8105203	6230825	6622125	4764329	3979670	4254831	5814527	4941570	9093581	11549360	7576050	8080790	8939023	9044865	5517596	3529688	5914056	4581437	9253109	9488952	9384270	7810649	8989128	7275806	6221491	6517647	4082264	8164020	2601349	7384094	9563664	8778755	6405961	4210799	3368945	3349370	3772051	6743416	6092697	8392778	9237309	4285781	6334127	3457574	3029938	3385793	7579631	5800095	4182047	4671631	10116101
2-Hydroxy-3-methylbutyric acid (117.0 / 71.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2/3-Phosphoglycerate (185.0 / 97.0)	4545453	2534266	2334367	1820283	3524436	5703313	9435147	7343803	7445061	7407890	11571865	2363178	2026390	5189572	6901612	5993345	4702486	7556324	9557123	4845615	6642613	4427293	7560466	4060943	5254864	9615011	10265319	11826661	6557010	7429099	4793545	2400959	3127178	2577489	3809249	10618507	6869835	6863097	9296429	7651346	11879849	2140268	1895194	2314396	1470684	10276492	11441708	10660714	2580877	12049671	10728058	2407133	2466224	2158676	2061620	1897628	11479469	10318560	13746387	8098148	5413832	4057436	5437479	5696428	10096587	11019685	15364786	14198875	4616712	6607431	3873326	4831556	3654839	9269783	7597818	3886745	3478581	13454769
213C-Tyrosine (184.1 / 138.0)	30391714	37281566	34605060	37463138	30085677	32415394	30232617	34208678	31904791	31827010	28900882	34172422	35266230	33192453	31803389	30587894	30678441	31255948	30061391	32956656	30065998	32598296	31330409	32227092	29874371	31051858	33168983	29843695	29276718	30647418	31080438	34157172	31079140	32658667	29306386	30896089	28718612	31743990	29925634	28166643	29509574	35504188	38194301	37143704	34051450	31112207	29173425	31722402	38735489	31776258	30639882	34243455	33306178	35775086	34625415	35119553	30383926	31948795	30247349	30867177	31194522	32750844	31704576	32033494	31200976	32443674	30512698	32929867	31030394	30545446	29534639	31879211	29927899	33273749	34195760	35705630	32455069	31458279
2C13-Glutamic acid (150.1 / 85.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Hydroxykynurenine (225.2 / 110.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2374976	616460	595431	501478	492866	1960158	2137707	2476202	559821	2285259	1535654	451547	533150	487721	468596	667138	2495392	1562140	2277368	1416720	770605	590108	618515	933758	1382419	1503738	2239229	1309068	1105581	1238581	651709	612375	730164	1294415	1708774	956433	808742	2333907
3-Methyl-2-oxovaleric acid (129.0 / 101.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Nitrotyrosine (225.0 / 163.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4-Hydroxybutyrate (105.0 / 77.0)	256023	463202	584402	488435	318519	327543	323168	268051	311306	326182	264747	572339	472986	401584	391824	336217	307488	292914	268523	278324	320345	560764	438180	349940	433122	557321	442902	384045	307811	246783	332761	326307	309381	433928	339574	386890	500758	488888	387065	317360	301798	413103	473675	351949	354246	353318	363816	334353	364346	351730	280814	593090	511352	619945	469573	139078	315414	383846	215613	277197	354067	455965	347598	326980	369398	364850	507743	551486	304805	330621	305615	341858	364279	324133	417584	270344	340730	298116
