Sample Name	QC_1(Internal)	QC_2(Internal)	QC_3(Internal)	QC_4(Internal)	QC_5(Internal)	QC_6(Internal)	QC_7(Internal)	QC_8(Internal)	QC_9(Internal)	QC_1(Mixed Sample)	QC_2(Mixed Sample)	QC_3(Mixed Sample)	QC_4(Mixed Sample)	QC_5(Mixed Sample)	QC_6(Mixed Sample)	QC_7(Mixed Sample)	QC_8(Mixed Sample)	QC_9(Mixed Sample)
1-Methyladenosine (282.0 / 150.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylguanosine (298.0 / 166.1)	34780	34403	31081	37880	34204	26912	34686	31135	35127	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylhistamine (126.0 / 96.0)	65596	61114	73116	60737	61683	66452	69832	81876	77908	NA	NA	NA	NA	NA	NA	NA	NA	NA
1/3-Methylhistidine (170.0 / 96.0)	3447234	3792087	3729581	3935248	3434488	3666297	3598936	3590279	3776114	1008340	1017953	1009991	1093224	1057796	1171226	1276936	1153278	1231618
12-HETE (319.2 / 179.0)	352917	369933	348976	373172	365841	416458	375334	382406	401080	NA	NA	NA	NA	NA	NA	NA	NA	NA
13-HODE (295.2 / 195.0)	1559849	1495131	1652292	1610874	1595104	1602792	1650192	1679680	1607460	8564713	8822662	9154942	8925984	8858384	9008943	9881329	9555849	10117775
13C-Glucose (185.0 / 92.0)	19635936	20373052	19482421	23602744	22014789	23139002	22815268	23104119	23190046	NA	NA	NA	NA	NA	NA	NA	NA	NA
1C13-Lactate (90.0 / 44.0)	26392955	26052850	25594441	29714750	29531099	29070555	32731899	29818943	31559725	50112319	49756765	49739411	51708670	49487391	52582720	53871090	52958110	55142661
2-Aminoadipate (160.1 / 116.0)	248425	288523	238811	254939	226095	250064	232266	281118	257998	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-Deoxyuridine (229.0 / 113.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	87534	92031	84099	76291	72641	73821	79670	83038	79287
2-Hydroxyglutarate (147.0 / 129.0)	7302005	7749948	7189775	6932644	7604742	7367904	7266693	6913754	8004927	6428156	5979649	5679332	6493890	6182419	6527921	5671875	6298935	6590724
2-Hydroxy-3-methylbutyric acid (117.0 / 71.0)	25700256	25044005	25203315	26080392	25539676	25774058	27345570	25923526	27835109	NA	NA	NA	NA	NA	NA	NA	NA	NA
2/3-Phosphoglycerate (185.0 / 97.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	6063954	5431788	5149673	5330155	4826273	4899447	5690499	5668528	5771839
213C-Tyrosine (184.1 / 138.0)	33945875	32698692	31744221	28360169	28548129	27887267	27374154	28663529	28096590	33675700	33083875	31454838	32299828	30496847	32576112	32838731	32774150	35068532
2C13-Glutamic acid (150.1 / 85.0)	31028298	30698933	30377804	29917984	30072182	30827266	31225968	30827424	33122009	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Hydroxykynurenine (225.2 / 110.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	725627	723944	741417	620723	592414	597857	617906	605248	612967
