Sample Name	10H	11H	13H	14H	15H	16H	17H	18H	19H	20H	21H	22H	23H	24H	25H	26H	27H	28H	29H	30H	31H	32H	33H	34H	35H	36H	37H	38H	39H	40H	41H	42H	43H	44H	45H	46H	47H	48H	49H	50H	51H	52H	53H	54H	55H	56H	57H	58H	59H	60H	61H	62H	63H	64H	65H	66H	67H	68H	70H	71H	72H	73H	74H	75H	76H	77H	78H	80H	81H	82H	83H	84H	85H	86H	87H	88H
1-Methyladenosine (282.0 / 150.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylguanosine (298.0 / 166.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylhistamine (126.0 / 96.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1/3-Methylhistidine (170.0 / 96.0)	111456	51750	64217	129760	93058	154245	85596	112393	113806	110587	89264	79174	84893	84137	101935	59967	144697	147546	97686	91011	58796	51979	58087	68234	103175	98834	68844	77827	99864	76554	48950	52649	42021	59803	92986	141867	105018	105801	152078	240227	58531	152017	103145	45215	146559	199156	166991	196646	191376	320785	134116	159409	63791	103904	198029	285318	138626	293369	214082	234045	125536	285735	146388	162169	266903	192161	195646	184644	221434	211339	199450	113876	97689	136597	116256	181692
12-HETE (319.2 / 179.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13-HODE (295.2 / 195.0)	4624230	11212887	2949676	305476	120405	71131	NA	NA	NA	NA	11936100	10065737	3172956	NA	NA	NA	NA	188347	4658945	440716	349026	451178	180414	255691	NA	NA	NA	295377	NA	452706	361716	265522	289081	425488	NA	NA	NA	NA	257942	NA	2970530	11331408	4513897	3334171	25011	NA	NA	1425282	3994511	205149	10674500	8335095	7627460	6765340	NA	NA	681635	1355254	466572	117605	135200	182827	NA	NA	NA	NA	139664	53008	136201	189235	161031	NA	NA	NA	NA	NA
13C-Glucose (185.0 / 92.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1C13-Lactate (90.0 / 44.0)	91837785	96738851	94407918	89332667	88531812	91633791	93721347	90194653	90323995	91876897	96381453	96868707	95896067	97175196	91408579	91344114	93806222	93639563	94146550	91609996	92285812	89404575	94081099	95466543	94421791	89194512	92414431	93330299	94269014	89178159	92974043	89532290	90293253	93305003	88039305	87385255	90626636	88839126	88248478	90361365	93321763	95990385	92547612	95211051	88797320	87682557	91669697	89982708	87659933	83159388	93469696	90077847	95305074	93741218	87268057	88145727	88260791	85566121	81514615	87512192	86807588	84466628	88303254	89345242	82769124	85141845	84137828	82261012	81088447	83343907	83292378	83168289	86625797	87476049	82729184	82592308
2-Aminoadipate (160.1 / 116.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-Deoxyuridine (229.0 / 113.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-Hydroxyglutarate (147.0 / 129.0)	1753969	1803131	596726	1901253	2131455	2728484	2611877	2328879	1981726	2447392	853007	834243	779852	1914150	2172397	2092441	2574109	2484372	2053688	742328	532625	676574	475270	501812	2650517	2851017	2180983	1891771	2242088	861971	595489	638700	736195	651083	2589623	4269965	2373536	3056900	3310529	2934878	352086	869953	523472	666348	2463636	2566545	2472741	2126358	2127894	3307984	864897	779682	263272	663563	2513000	2321931	1964206	2924845	1591246	865059	491435	1180556	1958542	1603454	2694550	2775059	847515	1612185	899862	948548	994130	2322096	1185236	1794226	1683888	3115273
2-Hydroxy-3-methylbutyric acid (117.0 / 71.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2/3-Phosphoglycerate (185.0 / 97.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
213C-Tyrosine (184.1 / 138.0)	39165505	42783947	40032373	38172900	38155627	37249299	41034262	44166013	43452627	39200168	40803063	43031433	40412978	41272796	37467012	39127641	38419127	39696249	39252867	38382572	39593251	39169735	41068613	40863928	39264648	39177491	40691556	39749766	39814562	38534063	39773318	41371044	42407053	41466192	40048855	38020360	39230819	36484531	37060569	38014238	43493590	39981442	43861858	44006553	38886105	39507878	41141049	40381844	39578345	36993357	40222757	41783166	45847444	43003389	39933421	38987161	41434023	37757940	38563860	39420974	41270287	37737630	40173777	39449950	37588475	38494312	38007464	40243525	38440267	38422972	38660511	40624187	40628389	40029074	39961650	39541448
2C13-Glutamic acid (150.1 / 85.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Hydroxykynurenine (225.2 / 110.1)	NA	NA	NA	NA	43871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1091539	607480	1080332	688123	759175	1147123	1219606	1318383	1181400	1136425	1299366	1114200	1091006	658447	1057396	1065427	1415064	1263213	1161076	880821	829438	661090	960545	745882	856080	887483	1121072	915185	809453	1319994	1353531	1232864	821436	837579	883243	1094487	860311
3-Methyl-2-oxovaleric acid (129.0 / 101.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Nitrotyrosine (225.0 / 163.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4-Hydroxybutyrate (105.0 / 77.0)	404620	361690	247179	328499	325896	288989	258035	221967	185654	246584	422935	274621	240129	386164	265435	353536	214028	300238	400556	282424	166604	242515	166487	268436	266716	217173	298325	241186	294724	276486	285272	143891	189289	280941	294745	304416	262907	264334	275212	299727	360277	370801	327928	244633	224869	328018	262780	341518	370668	324904	469455	356617	352444	352201	295094	224615	295838	334177	383047	264581	302964	303952	275489	257195	260172	283522	227117	263619	291597	306478	356116	229851	258319	284527	344202	274506
4-Pyridoxic acid (182.1 / 138.0)	6060823	6557109	6183422	5919170	5890088	6109397	6435545	6453514	6550987	6081808	6341066	6133226	6247083	6396057	5999560	5988293	5868864	6129087	6388172	5747447	6028736	5876579	5980073	6116917	5653089	5759271	6228564	6007669	5973817	5627230	6266587	6026367	6351307	6141512	5698605	5314351	5852838	5604816	5281188	5733603	6653420	5948322	6701037	6647574	5717687	5316960	5959602	6001133	5780665	5294076	6018196	6183213	6939556	6350202	5803723	6029756	6100843	5745834	5264475	5636458	5899623	5212809	5845015	6036227	5165824	5376079	5529609	5380516	4956653	5041615	5081481	6181911	6093244	5523510	5707207	5223888
5-Aminopentanoic acid (118.0 / 55.0)	934124	943906	1280798	716777	565377	670196	410498	416574	436200	421400	1169685	981277	1635377	316831	622674	503668	725253	628104	691405	1606489	1206597	1313953	1084751	1614571	723263	653677	698033	552055	509496	1806743	1232055	1540815	1211912	940653	624235	796341	662480	828047	1213968	954341	879115	2002795	1377375	1339624	925537	947065	878749	1014303	1492733	1506894	1962426	1877691	937227	1747792	947598	1134070	906698	1454678	2226812	2924027	1830547	3613872	1458017	1416698	1694133	1522475	2491525	1345248	3165792	3055867	2849929	960182	834434	1049239	913257	1277650
5-Hydroxytryptophan (221.0 / 133.2)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6-Methyladenosine (282.0 / 150.1 (2))	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8-Hydroxyguanosine (300.0 / 168.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8-Hydroxy-deoxyguanosine (284.0 / 168.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetoacetate (101.0 / 57.0)	279948	55088	152794	377840	284350	227095	215161	310411	253772	256133	193480	95169	224123	244462	356858	379003	360576	375210	159608	136632	62170	94695	48985	39945	327610	172460	197134	190749	259940	85204	76004	54480	38906	79292	231331	156679	209389	496779	168877	341775	120774	302996	112303	166509	279589	254134	187947	152998	189368	530529	130489	233468	79954	168954	206738	326949	142271	403427	284756	115541	145967	145170	291975	371585	214243	178840	198123	294089	102902	116629	108701	128717	211926	353119	312263	198316
Acetylcarnitine (204.1 / 85.0)	8341830	4790020	9255732	7409866	6581635	6647658	4210963	8001833	4740895	4910262	11352663	4247351	16204913	3024321	5113894	5148146	6942188	6426903	3326980	19376734	9623821	8752550	10375073	16333270	12250575	8364289	7727186	6735752	9131264	14462336	7118578	14998450	6835567	8869575	7814709	12223982	9553653	13708756	16978186	12594374	5676269	10064323	13049784	15655382	9560206	9808903	7647465	14910001	25574349	21281806	19177356	20409988	2041946	21086990	13793000	9269938	4793225	24131689	28987014	26152821	19671433	33647287	13193828	11176771	15403127	12655311	23895090	15318190	23626250	27577713	25717576	8461291	7272153	10332315	8088311	11406629
Acetylcholine (146.1 / 87.0)	4718148	227463	662339	1668152	1546554	996088	875893	6360223	5972121	4775654	488750	536522	785538	2334381	2120459	1240723	901946	7579051	5331669	961516	557424	1202048	911374	585561	2682152	3552938	2169486	5320122	8063558	945576	289021	569195	271742	467022	1388620	5644919	2761169	8102586	8241083	11511855	382635	804949	521718	391104	7246554	6595192	4211373	8631845	7244875	12732785	551805	949141	204314	466436	3340963	3545413	2429527	11524737	8238700	1723212	1073907	2286888	4495044	4263393	4071352	3814828	2205864	7506865	2400602	703176	2271583	2327590	1775439	2570824	3703345	8397120
Aconitate (173.0 / 85.0)	382046	333719	150905	663698	717895	679873	667924	502278	416816	421979	386195	548465	270605	351005	459880	481521	562196	562635	442650	232292	136910	226642	101520	99378	677910	942703	487952	456600	603495	399153	222194	289176	169744	165345	1000753	1471525	879116	901244	1363762	1070568	341330	758472	595944	635341	1079162	1022333	875749	1143161	1584575	1217711	1727505	1062376	405655	1143052	1073183	972266	737354	1152873	678649	168983	181298	369278	778396	538461	1170153	1251523	324234	807939	533506	239369	315345	1060855	444961	580520	598787	1378768
Adenine (134.1 / 107.0)	318578	NA	203427	429418	464242	535844	370642	367395	315078	333505	NA	NA	259291	315848	400928	393921	559536	482373	293130	532206	416141	341716	396203	553542	520602	584028	474821	412464	461925	441199	374993	494930	295738	341940	470887	578818	554499	586256	563922	429214	NA	NA	NA	171658	360803	304893	306583	196651	185512	424558	NA	NA	NA	NA	279734	323109	218805	398116	455320	405727	281359	656890	345863	288265	298651	272971	536050	428333	457041	567077	466140	262488	289236	286969	243025	325844
Adenosine (268.1 / 136.1)	1247893	163532	325970	2844752	1552109	1466409	998396	938961	764282	663259	329092	449895	296818	1451262	1150156	1460175	2265229	901672	764503	1263319	1029175	664784	487179	1440161	2186371	1124992	1671463	681959	701084	1618018	756181	1009992	500824	1216526	1577363	2762031	1348264	1946214	1760260	551601	100390	267652	95614	342633	446712	335851	418023	270615	283520	559267	131221	201976	92896	97896	386576	527761	359484	551148	2276575	2577567	1217273	2216749	510203	580705	543603	517401	2398902	1152109	2465318	3418695	2603097	353677	539049	790452	429590	413052
