Sample Name	QC_1	QC_2	QC_3	QC_4	QC_5	QC_6	QC_7	QC_8	QC_9
1-Methyladenosine (282.0 / 150.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylguanosine (298.0 / 166.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-Methylhistamine (126.0 / 96.0)	104680	102523	92404	103886	116394	111890	117072	114560	93292
1/3-Methylhistidine (170.0 / 96.0)	4373323	4171346	4524698	4348117	4672711	4519861	4733519	4852491	3989190
12-HETE (319.2 / 179.0)	317667	298201	291051	331910	309640	307892	327447	322585	285005
13-HODE (295.2 / 195.0)	914280	936463	1027470	1021348	1059404	1031455	1173173	1129938	943455
13C-Glucose (185.0 / 92.0)	12526193	11104040	11586483	11811352	12014153	11992158	12668854	13176313	13119666
1C13-Lactate (90.0 / 44.0)	27134390	27919864	28399780	30323674	30870926	30059950	31449502	31045499	30360764
2-Aminoadipate (160.1 / 116.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-Deoxyuridine (229.0 / 113.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
2-Hydroxyglutarate (147.0 / 129.0)	4114547	4383183	4224331	4356963	4439549	4477737	4803690	4987470	4677979
2-Hydroxy-3-methylbutyric acid (117.0 / 71.0)	18073122	18018298	18447530	19347944	18415465	19250258	20121508	21254623	18621925
2/3-Phosphoglycerate (185.0 / 97.0)	186294	182197	179212	173759	192206	190461	193767	203119	194614
213C-Tyrosine (184.1 / 138.0)	37211303	36999361	37239163	38440965	38280981	39135021	41175916	40376368	43743666
2C13-Glutamic acid (150.1 / 85.0)	25132443	26759204	26048856	25728463	27823548	27087862	27411599	28114109	27960151
3-Hydroxykynurenine (225.2 / 110.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Methyl-2-oxovaleric acid (129.0 / 101.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
3-Nitrotyrosine (225.0 / 163.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
4-Hydroxybutyrate (105.0 / 77.0)	968537	834015	843368	889560	946763	864955	959725	916009	992092
4-Pyridoxic acid (182.1 / 138.0)	5150642	5274473	5410766	5471401	5451047	5311148	5730866	5667810	5202441
5-Aminopentanoic acid (118.0 / 55.0)	27194191	28553359	28390750	29802592	31389464	29764889	32728779	33753183	32428402
5-Hydroxytryptophan (221.0 / 133.2)	NA	NA	NA	NA	NA	NA	NA	NA	NA
6-Methyladenosine (282.0 / 150.1 (2))	NA	NA	NA	NA	NA	NA	NA	NA	NA
8-Hydroxyguanosine (300.0 / 168.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA
8-Hydroxy-deoxyguanosine (284.0 / 168.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetoacetate (101.0 / 57.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetylcarnitine (204.1 / 85.0)	22086918	21763032	21025764	22465504	21432928	23678866	23300743	25244954	20715024
Acetylcholine (146.1 / 87.0)	2174248	2212837	2226022	2220455	2317673	2396838	2334514	2468403	1850303
Aconitate (173.0 / 85.0)	1188984	1090243	1144365	1086434	1129774	1135521	1178801	1137687	1196293
Adenine (134.1 / 107.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenosine (268.1 / 136.1)	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenylosuccinate (462.1 / 79.0)	274409	251277	272979	245313	259291	230672	222260	262220	260990
Adipic acid (144.9 / 83.0)	1007630	1038801	1143992	1130575	1140095	1165804	1247184	1210744	1353542
ADP (426.0 / 134.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agmatine (131.0 / 72.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alanine (90.0 / 44.0)	35959669	37533585	37850058	38189424	39001749	41579081	43310615	41938981	35877599
Allantoin (157.0 / 114.0)	478794	492032	520506	547622	509210	596670	537734	611528	484806
Allopurinol (135.0 / 64.0)	NA	NA	NA	NA	NA	NA	NA	NA	NA
