"","Total","Expected","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact"
"Aminoacyl-tRNA biosynthesis",48,5.0075,18,2.9337e-07,15.042,2.3763e-05,2.3763e-05,0.16667
"Arginine biosynthesis",12,1.2519,8,3.8331e-06,12.472,0.00030665,0.00015524,0.62857
"Alanine, aspartate and glutamate metabolism",23,2.3994,10,3.6706e-05,10.213,0.0028998,0.00099105,0.8919
"Butanoate metabolism",14,1.4605,6,0.0016857,6.3856,0.13148,0.034135,0.5
"Glycine, serine and threonine metabolism",30,3.1297,9,0.0023059,6.0723,0.17755,0.037356,0.64289
"Phenylalanine, tyrosine and tryptophan biosynthesis",4,0.41729,3,0.0040937,5.4983,0.31112,0.055265,1
"Valine, leucine and isoleucine biosynthesis",8,0.83459,4,0.0056461,5.1768,0.42346,0.065333,0
"Glyoxylate and dicarboxylate metabolism",24,2.5038,7,0.0085618,4.7604,0.63358,0.079801,0.36667
"D-Glutamine and D-glutamate metabolism",5,0.52162,3,0.0094566,4.661,0.69033,0.079801,1
"Purine metabolism",63,6.5724,13,0.009852,4.6201,0.70934,0.079801,0.32237
"Glutathione metabolism",26,2.7124,6,0.045427,3.0917,1,0.32903,0.13075
"Citrate cycle (TCA cycle)",20,2.0865,5,0.048746,3.0211,1,0.32903,0.30256
"Nitrogen metabolism",5,0.52162,2,0.087441,2.4368,1,0.50591,0
"Synthesis and degradation of ketone bodies",5,0.52162,2,0.087441,2.4368,1,0.50591,0.6
"Arginine and proline metabolism",31,3.234,6,0.094681,2.3572,1,0.51128,0.41871
"Ascorbate and aldarate metabolism",6,0.62594,2,0.12242,2.1003,1,0.61975,0.5
"Galactose metabolism",27,2.8167,5,0.1417,1.9541,1,0.67515,0.18512
"Phenylalanine metabolism",7,0.73026,2,0.16007,1.8321,1,0.72031,0.37931
"beta-Alanine metabolism",14,1.4605,3,0.17233,1.7583,1,0.73468,0
"Pyruvate metabolism",22,2.2951,4,0.18954,1.6632,1,0.76764,0.16793
"Pyrimidine metabolism",40,4.1729,6,0.23162,1.4626,1,0.77708,0.26843
"Cysteine and methionine metabolism",32,3.3383,5,0.23508,1.4478,1,0.77708,0.30927
"Nicotinate and nicotinamide metabolism",9,0.93891,2,0.23984,1.4278,1,0.77708,0.0566
"Ubiquinone and other terpenoid-quinone biosynthesis",9,0.93891,2,0.23984,1.4278,1,0.77708,0.33333
"Histidine metabolism",9,0.93891,2,0.23984,1.4278,1,0.77708,0.4
"Tyrosine metabolism",33,3.4427,5,0.25559,1.3642,1,0.79627,0.29284
"Biotin metabolism",10,1.0432,2,0.28057,1.2709,1,0.83193,0.2
"Pantothenate and CoA biosynthesis",18,1.8778,3,0.28758,1.2462,1,0.83193,0
"Glycerolipid metabolism",13,1.3562,2,0.40029,0.91558,1,1,0.29465
"Pentose phosphate pathway",22,2.2951,3,0.40741,0.89792,1,1,0.20598
"Starch and sucrose metabolism",14,1.4605,2,0.43828,0.8249,1,1,0.23383
"Taurine and hypotaurine metabolism",7,0.73026,1,0.53862,0.61874,1,1,0.2
"Valine, leucine and isoleucine degradation",38,3.9643,4,0.5733,0.55634,1,1,0
"alpha-Linolenic acid metabolism",8,0.83459,1,0.58707,0.5326,1,1,0
"Vitamin B6 metabolism",8,0.83459,1,0.58707,0.5326,1,1,0.33333
"Tryptophan metabolism",30,3.1297,3,0.62191,0.47496,1,1,0.21011
"Lysine degradation",21,2.1908,2,0.66199,0.4125,1,1,0.03448
"Glycerophospholipid metabolism",32,3.3383,3,0.66672,0.40539,1,1,0.14442
"Porphyrin and chlorophyll metabolism",24,2.5038,2,0.73368,0.30968,1,1,0
"Glycolysis / Gluconeogenesis",26,2.7124,2,0.77403,0.25614,1,1,0.09913
"Inositol phosphate metabolism",28,2.9211,2,0.80899,0.21197,1,1,0.11704
"Fructose and mannose metabolism",16,1.6692,1,0.8307,0.18549,1,1,0.0459
"Pentose and glucuronate interconversions",16,1.6692,1,0.8307,0.18549,1,1,0.125
"Sphingolipid metabolism",18,1.8778,1,0.86468,0.1454,1,1,0
"Amino sugar and nucleotide sugar metabolism",34,3.547,2,0.88686,0.12007,1,1,0
"Phosphatidylinositol signaling system",28,2.9211,1,0.95615,0.044836,1,1,0.04267
"Fatty acid biosynthesis",43,4.4859,1,0.99209,0.0079442,1,1,0
