"","Total","Expected","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact"
"Alanine, aspartate and glutamate metabolism",23,0.7782,6,6.5068e-05,9.6401,0.0052705,0.0052705,0.61149
"Arginine biosynthesis",12,0.40602,4,0.00045164,7.7026,0.036131,0.015809,0
"Aminoacyl-tRNA biosynthesis",48,1.6241,7,0.00074937,7.1963,0.0592,0.015809,0
"Purine metabolism",63,2.1316,8,0.00078068,7.1553,0.060893,0.015809,0.15169
"Valine, leucine and isoleucine biosynthesis",8,0.27068,3,0.0017753,6.3338,0.1367,0.02876,0
"Butanoate metabolism",14,0.47368,3,0.010025,4.6026,0.76192,0.12085,0.2
"D-Glutamine and D-glutamate metabolism",5,0.16917,2,0.010443,4.5618,0.78326,0.12085,0
"Valine, leucine and isoleucine degradation",38,1.2857,3,0.13358,2.013,1,1,0
"Citrate cycle (TCA cycle)",20,0.67669,2,0.14457,1.934,1,1,0.17638
"Pyrimidine metabolism",40,1.3534,3,0.14951,1.9004,1,1,0.07101
"Nitrogen metabolism",5,0.16917,1,0.15838,1.8427,1,1,0
"Pyruvate metabolism",22,0.74436,2,0.16864,1.78,1,1,0.00254
"Glyoxylate and dicarboxylate metabolism",24,0.81203,2,0.19337,1.6431,1,1,0.0375
"Glutathione metabolism",26,0.8797,2,0.21856,1.5207,1,1,0
"alpha-Linolenic acid metabolism",8,0.27068,1,0.24141,1.4213,1,1,0
"Nicotinate and nicotinamide metabolism",9,0.30451,1,0.26727,1.3195,1,1,0
"Tryptophan metabolism",30,1.015,2,0.26971,1.3104,1,1,0.21401
"beta-Alanine metabolism",14,0.47368,1,0.38424,0.95648,1,1,0
"Pantothenate and CoA biosynthesis",18,0.60902,1,0.46455,0.76668,1,1,0
"Pentose phosphate pathway",22,0.74436,1,0.53464,0.62615,1,1,0.20598
"Glycolysis / Gluconeogenesis",26,0.8797,1,0.59578,0.51788,1,1,0
"Galactose metabolism",27,0.91353,1,0.6098,0.49462,1,1,0.12857
"Arginine and proline metabolism",31,1.0489,1,0.6613,0.41355,1,1,0.00117
"Cysteine and methionine metabolism",32,1.0827,1,0.6731,0.39586,1,1,0
"Fatty acid biosynthesis",43,1.4549,1,0.77923,0.24945,1,1,0
